path,label,img_name_no_ext,source_url,source_dataset,CAMID,filename,Taxonomic_Name,genus,species,md5
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM017983_d.png,damaged,CAM017983_d,https://zenodo.org/record/3082688/files/CAM017983_d.JPG,heliconius_cambridge,CAM017983,CAM017983_d.JPG,Heliconius erato ssp. notabilis x lativitta,Heliconius,Heliconius erato,5d0b1800b3ac1fbee954c43380f9926e
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/19N0224_d.png,damaged,19N0224_d,https://zenodo.org/record/4288311/files/19N0224_d.JPG,heliconius_cambridge,19N0224,19N0224_d.JPG,Heliconius erato ssp. lativitta,Heliconius,Heliconius erato,8bc73cfd7aa46be3f8c3c584a5c19f4f
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM018252_d.png,damaged,CAM018252_d,https://zenodo.org/record/2702457/files/CAM018252_d.JPG,heliconius_cambridge,CAM018252,CAM018252_d.JPG,Heliconius erato ssp. notabilis x lativitta,Heliconius,Heliconius erato,25af308140266375d5ce42358044ed6d
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM008831_d.png,damaged,CAM008831_d,https://zenodo.org/record/2686762/files/CAM008831_d.JPG,heliconius_cambridge,CAM008831,CAM008831_d.JPG,Heliconius erato,Heliconius,Heliconius erato,52b5bda83b01016e07a228a284dc0c4b
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM009541_d.png,damaged,CAM009541_d,https://zenodo.org/record/2686762/files/CAM009541_d.JPG,heliconius_cambridge,CAM009541,CAM009541_d.JPG,Heliconius erato,Heliconius,Heliconius erato,239e698040563db099d95baeff24e1f9
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM008597_d.png,damaged,CAM008597_d,https://zenodo.org/record/2686762/files/CAM008597_d.JPG,heliconius_cambridge,CAM008597,CAM008597_d.JPG,Heliconius erato,Heliconius,Heliconius erato,45d9538b658a7cab637bc5f3695ec98e
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM017457_d_whitestandard.png,damaged,CAM017457_d_whitestandard,https://zenodo.org/record/1748277/files/CAM017457_d_whitestandard.JPG,heliconius_cambridge,CAM017457,CAM017457_d_whitestandard.JPG,Heliconius erato ssp. latRo x notabilis,Heliconius,Heliconius erato,74b30a511003bb73a3405afc68fc0f4a
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM008663_d.png,damaged,CAM008663_d,https://zenodo.org/record/2686762/files/CAM008663_d.JPG,heliconius_cambridge,CAM008663,CAM008663_d.JPG,Heliconius erato,Heliconius,Heliconius erato,64beebe70b116fb33550169c82694e91
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/19N0081_d.png,damaged,19N0081_d,https://zenodo.org/record/4288311/files/19N0081_d.JPG,heliconius_cambridge,19N0081,19N0081_d.JPG,Heliconius erato ssp. lativitta,Heliconius,Heliconius erato,b2fc5ebd6b42fa279db649fcee2945cf
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/16N063_d.png,damaged,16N063_d,https://zenodo.org/record/4289223/files/16N063_d.JPG,heliconius_cambridge,16N063,16N063_d.JPG,Heliconius melpomene ssp. vulcanus,Heliconius,Heliconius melpomene,d416f1c4c29ec4b9cc17f72654afe39a
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/16N094_d.png,damaged,16N094_d,https://zenodo.org/record/4289223/files/16N094_d.JPG,heliconius_cambridge,16N094,16N094_d.JPG,Heliconius melpomene ssp. vulcanus,Heliconius,Heliconius melpomene,31b4581b7eca5955176e2a4b47335b6b
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM008983_d.png,damaged,CAM008983_d,https://zenodo.org/record/2686762/files/CAM008983_d.JPG,heliconius_cambridge,CAM008983,CAM008983_d.JPG,Heliconius erato ssp. venus,Heliconius,Heliconius erato,652d16dbb4eb53298075fff3162c19fd
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/16N092_d.png,damaged,16N092_d,https://zenodo.org/record/4289223/files/16N092_d.JPG,heliconius_cambridge,16N092,16N092_d.JPG,Heliconius melpomene ssp. vulcanus,Heliconius,Heliconius melpomene,4260ce1137748ec03e19d9ffdd980529
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/19N1593_d.png,damaged,19N1593_d,https://zenodo.org/record/4288311/files/19N1593_d.JPG,heliconius_cambridge,19N1593,19N1593_d.JPG,Heliconius erato ssp. lativitta,Heliconius,Heliconius erato,89f1ac9ab068be8d81bbe0cef8604d0a
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM008576_d.png,damaged,CAM008576_d,https://zenodo.org/record/2686762/files/CAM008576_d.JPG,heliconius_cambridge,CAM008576,CAM008576_d.JPG,Heliconius erato,Heliconius,Heliconius erato,9fec840be1fb579cd300f2a318554884
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/19N2502_d.png,damaged,19N2502_d,https://zenodo.org/record/4288311/files/19N2502_d.JPG,heliconius_cambridge,19N2502,19N2502_d.JPG,Heliconius erato,Heliconius,Heliconius erato,d1b487c57990b93759fed54a2b30dbcb
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM008959_d.png,damaged,CAM008959_d,https://zenodo.org/record/2686762/files/CAM008959_d.JPG,heliconius_cambridge,CAM008959,CAM008959_d.JPG,Heliconius erato ssp. venus,Heliconius,Heliconius erato,7ba62ec00cf3997c1775504d3963c2d2
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/19N0314_d.png,damaged,19N0314_d,https://zenodo.org/record/4288311/files/19N0314_d.JPG,heliconius_cambridge,19N0314,19N0314_d.JPG,Heliconius melpomene ssp. malleti,Heliconius,Heliconius melpomene,f7de0a3c9e548489b0c4d288859a6980
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM009562_d.png,damaged,CAM009562_d,https://zenodo.org/record/2686762/files/CAM009562_d.JPG,heliconius_cambridge,CAM009562,CAM009562_d.JPG,Heliconius erato,Heliconius,Heliconius erato,402a38bc9b296f72ab1934bfb71c873b
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/19N0281_d.png,damaged,19N0281_d,https://zenodo.org/record/4288311/files/19N0281_d.JPG,heliconius_cambridge,19N0281,19N0281_d.JPG,Heliconius melpomene ssp. malleti,Heliconius,Heliconius melpomene,36d2b0a356726a496d60c25335c46fb0
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/damaged/CAM009016_d.png,damaged,CAM009016_d,https://zenodo.org/record/2686762/files/CAM009016_d.JPG,heliconius_cambridge,CAM009016,CAM009016_d.JPG,Heliconius erato ssp. venus,Heliconius,Heliconius erato,d50a962d99ac35946bd905c8cf8c681d
