path,label,img_name_no_ext,source_url,source_dataset
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1283.png,body_attached,1283,https://lepdata.org/photos/animals/1283.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/879.png,body_attached,879,https://lepdata.org/photos/animals/879.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1680.png,body_attached,1680,https://lepdata.org/photos/animals/1680.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/2386.png,body_attached,2386,https://lepdata.org/photos/animals/2386.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1217.png,body_attached,1217,https://lepdata.org/photos/animals/1217.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/548.png,body_attached,548,https://lepdata.org/photos/animals/548.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1519.png,body_attached,1519,https://lepdata.org/photos/animals/1519.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/2937.png,body_attached,2937,https://lepdata.org/photos/animals/2937.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1555.png,body_attached,1555,https://lepdata.org/photos/animals/1555.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/2415.png,body_attached,2415,https://lepdata.org/photos/animals/2415.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1496.png,body_attached,1496,https://lepdata.org/photos/animals/1496.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/870.png,body_attached,870,https://lepdata.org/photos/animals/870.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/2392.png,body_attached,2392,https://lepdata.org/photos/animals/2392.jpg,monteiro
/fs/ess/PAS2136/Butterfly/annotated_cvat_segmentation_data/images_256_256_corrected_orientations/body_attached/1371.png,body_attached,1371,https://lepdata.org/photos/animals/1371.jpg,monteiro
